KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
147,52;-23,196590;-45,873971;7376,000000;-45.8739709382609,-23.1965902356522;https://www.google.com.br/maps/@-45.8739709382609,-23.1965902356522,20z
147,53;-23,196637;-45,874054;7376,500000;-45.8740542534782,-23.1966373986956;https://www.google.com.br/maps/@-45.8740542534782,-23.1966373986956,20z
147,54;-23,196685;-45,874137;7377,000000;-45.8741373729189,-23.1966848990811;https://www.google.com.br/maps/@-45.8741373729189,-23.1966848990811,20z
147,55;-23,196733;-45,874220;7377,500000;-45.8742202431892,-23.1967328288108;https://www.google.com.br/maps/@-45.8742202431892,-23.1967328288108,20z
147,56;-23,196781;-45,874303;7378,000000;-45.8743030082162,-23.1967812656216;https://www.google.com.br/maps/@-45.8743030082162,-23.1967812656216,20z
147,57;-23,196830;-45,874386;7378,500000;-45.8743857001081,-23.1968300548108;https://www.google.com.br/maps/@-45.8743857001081,-23.1968300548108,20z
147,58;-23,196879;-45,874468;7379,000000;-45.874467872,-23.196879096;https://www.google.com.br/maps/@-45.874467872,-23.196879096,20z
147,59;-23,196928;-45,874550;7379,500000;-45.8745498611892,-23.1969282257297;https://www.google.com.br/maps/@-45.8745498611892,-23.1969282257297,20z
147,60;-23,196978;-45,874632;7380,000000;-45.8746318016393,-23.1969784363934;https://www.google.com.br/maps/@-45.8746318016393,-23.1969784363934,20z
147,61;-23,197029;-45,874714;7380,500000;-45.8747136685246,-23.1970288501639;https://www.google.com.br/maps/@-45.8747136685246,-23.1970288501639,20z
147,62;-23,197080;-45,874794;7381,000000;-45.8747944772677,-23.1970803528962;https://www.google.com.br/maps/@-45.8747944772677,-23.1970803528962,20z
147,63;-23,197132;-45,874875;7381,500000;-45.8748751935165,-23.1971319927472;https://www.google.com.br/maps/@-45.8748751935165,-23.1971319927472,20z
147,64;-23,197184;-45,874956;7382,000000;-45.8749556001099,-23.1971840916483;https://www.google.com.br/maps/@-45.8749556001099,-23.1971840916483,20z
147,65;-23,197236;-45,875036;7382,500000;-45.8750360733149,-23.197236161326;https://www.google.com.br/maps/@-45.8750360733149,-23.197236161326,20z
147,66;-23,197288;-45,875117;7383,000000;-45.8751166423757,-23.1972881889503;https://www.google.com.br/maps/@-45.8751166423757,-23.1972881889503,20z
147,67;-23,197340;-45,875197;7383,500000;-45.8751973933333,-23.19733989;https://www.google.com.br/maps/@-45.8751973933333,-23.19733989,20z
147,68;-23,197391;-45,875278;7384,000000;-45.8752782655555,-23.1973913733333;https://www.google.com.br/maps/@-45.8752782655555,-23.1973913733333,20z
147,69;-23,197443;-45,875359;7384,500000;-45.8753590388827,-23.1974431672067;https://www.google.com.br/maps/@-45.8753590388827,-23.1974431672067,20z
147,70;-23,197495;-45,875440;7385,000000;-45.8754397817778,-23.1974950438333;https://www.google.com.br/maps/@-45.8754397817778,-23.1974950438333,20z
147,71;-23,197547;-45,875520;7385,500000;-45.8755199595555,-23.1975474271667;https://www.google.com.br/maps/@-45.8755199595555,-23.1975474271667,20z
147,72;-23,197600;-45,875600;7386,000000;-45.8756000545,-23.1976000088333;https://www.google.com.br/maps/@-45.8756000545,-23.1976000088333,20z
147,73;-23,197653;-45,875680;7386,500000;-45.8756798378333,-23.1976533366111;https://www.google.com.br/maps/@-45.8756798378333,-23.1976533366111,20z
147,74;-23,197707;-45,875759;7387,000000;-45.8757594087293,-23.1977069739779;https://www.google.com.br/maps/@-45.8757594087293,-23.1977069739779,20z
147,75;-23,197761;-45,875839;7387,500000;-45.8758386739226,-23.1977610568508;https://www.google.com.br/maps/@-45.8758386739226,-23.1977610568508,20z
147,76;-23,197815;-45,875918;7388,000000;-45.8759177242623,-23.1978151227869;https://www.google.com.br/maps/@-45.8759177242623,-23.1978151227869,20z
147,77;-23,197869;-45,875997;7388,500000;-45.8759966313661,-23.1978691774317;https://www.google.com.br/maps/@-45.8759966313661,-23.1978691774317,20z
147,78;-23,197923;-45,876076;7389,000000;-45.8760759508196,-23.1979230763934;https://www.google.com.br/maps/@-45.8760759508196,-23.1979230763934,20z
147,79;-23,197977;-45,876155;7389,500000;-45.8761553934426,-23.1979769288524;https://www.google.com.br/maps/@-45.8761553934426,-23.1979769288524,20z
147,80;-23,198031;-45,876234;7390,000000;-45.8762343521111,-23.1980312124444;https://www.google.com.br/maps/@-45.8762343521111,-23.1980312124444,20z
147,81;-23,198086;-45,876313;7390,500000;-45.8763132420442,-23.1980857159116;https://www.google.com.br/maps/@-45.8763132420442,-23.1980857159116,20z
147,82;-23,198141;-45,876392;7391,000000;-45.8763918995027,-23.1981414009945;https://www.google.com.br/maps/@-45.8763918995027,-23.1981414009945,20z
147,83;-23,198197;-45,876470;7391,500000;-45.8764703126519,-23.1981971480663;https://www.google.com.br/maps/@-45.8764703126519,-23.1981971480663,20z
147,84;-23,198253;-45,876548;7392,000000;-45.876548229779,-23.1982530209945;https://www.google.com.br/maps/@-45.876548229779,-23.1982530209945,20z
147,85;-23,198309;-45,876626;7392,500000;-45.8766258214286,-23.1983090257143;https://www.google.com.br/maps/@-45.8766258214286,-23.1983090257143,20z
147,86;-23,198365;-45,876703;7393,000000;-45.8767031126373,-23.1983651520879;https://www.google.com.br/maps/@-45.8767031126373,-23.1983651520879,20z
147,87;-23,198422;-45,876780;7393,500000;-45.8767803933701,-23.1984218861326;https://www.google.com.br/maps/@-45.8767803933701,-23.1984218861326,20z
147,88;-23,198479;-45,876858;7394,000000;-45.8768576696132,-23.1984788806077;https://www.google.com.br/maps/@-45.8768576696132,-23.1984788806077,20z
147,89;-23,198536;-45,876934;7394,500000;-45.8769344738121,-23.1985361061878;https://www.google.com.br/maps/@-45.8769344738121,-23.1985361061878,20z
147,90;-23,198593;-45,877011;7395,000000;-45.8770112408989,-23.1985934069663;https://www.google.com.br/maps/@-45.8770112408989,-23.1985934069663,20z
147,91;-23,198651;-45,877088;7395,500000;-45.8770882521348,-23.1986512440449;https://www.google.com.br/maps/@-45.8770882521348,-23.1986512440449,20z
147,92;-23,198709;-45,877165;7396,000000;-45.8771649498305,-23.1987090367796;https://www.google.com.br/maps/@-45.8771649498305,-23.1987090367796,20z
147,93;-23,198767;-45,877241;7396,500000;-45.8772409159322,-23.1987667260452;https://www.google.com.br/maps/@-45.8772409159322,-23.1987667260452,20z
147,94;-23,198825;-45,877317;7397,000000;-45.8773169919075,-23.1988248863584;https://www.google.com.br/maps/@-45.8773169919075,-23.1988248863584,20z
