ID do NOX;Latitude;Longitude
Dados de teste 627;-23,233685;-45,915295
Dados de teste 628;-23,232625;-45,914268
Dados de teste 629;-23,503761;-46,567167
Dados de teste 630;-23,233468;-45,915007
Dados de teste 631;0;0
Dados de teste 632;0;0
Dados de teste 633;0;0
Dados de teste 634;-22,494708;-44,570061
Dados de teste 635;-23,469325;-46,511675
Dados de teste 636;0;0
Dados de teste 637;-23,23335;-45,91478
Dados de teste 638;-23,475756;-46,526124
Dados de teste 639;-23,232227;-45,913877
Dados de teste 640;0;0
Dados de teste 641;0;0
Dados de teste 642;0;0
Dados de teste 643;-23,437156;-46,431
Dados de teste 644;0;0
Dados de teste 645;-22,93041;-45,36185
Dados de teste 646;0;0
Dados de teste 647;-22,4944;-44,5692
Dados de teste 648;-23,497317;-46,558758
Dados de teste 649;0;0
Dados de teste 650;-22,49485;-44,56873
Dados de teste 651;-23,233087;-45,914583
Dados de teste 652;-22,4944;-44,5692
Dados de teste 653;-22,494059;-44,568653
Dados de teste 654;-23,469761;-46,513075
Dados de teste 655;-23,503222;-46,566403
Dados de teste 656;-23,503222;-46,566403
Dados de teste 657;-22,93041;-45,36185
Dados de teste 658;0;0
Dados de teste 659;-22,49441;-44,56938
Dados de teste 660;0;0
Dados de teste 661;0;0
Dados de teste 662;0;0
Dados de teste 663;0;0
Dados de teste 664;-22,49441;-44,56938
Dados de teste 665;-23,233015;-45,914377
Dados de teste 666;-23,469067;-46,510842
Dados de teste 667;-23,233468;-45,915007
Dados de teste 668;-23,232032;-45,913772
Dados de teste 669;0;0
Dados de teste 670;0;0
Dados de teste 671;0;0
Dados de teste 672;-23,437382;-46,431536
Dados de teste 673;0;0
Dados de teste 674;-22,4944;-44,5692
Dados de teste 675;-23,234387;-45,916204
Dados de teste 676;-23,471756;-46,518467
Dados de teste 677;-23,231548;-45,913118
Dados de teste 678;-23,503611;-46,566967
Dados de teste 679;0;0
Dados de teste 680;-23,224472;-45,905492
Dados de teste 681;-23,497539;-46,55905
Dados de teste 682;-23,234174;-45,915925
Dados de teste 683;-23,225978;-45,906903
Dados de teste 684;0;0
Dados de teste 685;-23,504117;-46,567619
Dados de teste 686;0;0
Dados de teste 687;0;0
Dados de teste 688;0;0
Dados de teste 689;0;0
Dados de teste 690;-23,49067;-46,549379
Dados de teste 691;0;0
Dados de teste 692;0;0
Dados de teste 693;0;0
Dados de teste 694;-23,233838;-45,915362
Dados de teste 695;0;0
Dados de teste 696;0;0
Dados de teste 697;0;0
Dados de teste 698;-23,352466;-46,200801
Dados de teste 699;0;0
Dados de teste 700;0;0
Dados de teste 701;0;0
Dados de teste 702;-23,333876;-46,140443
Dados de teste 703;-23,413799;-46,3615
Dados de teste 704;0;0
Dados de teste 705;-23,48477;-46,538429
Dados de teste 706;-23,503422;-46,566706
Dados de teste 707;0;0
Dados de teste 708;-23,4352;-46,426498
Dados de teste 709;0;0
Dados de teste 710;0;0
Dados de teste 711;0;0
Dados de teste 712;0;0
Dados de teste 713;0;0
Dados de teste 714;0;0
Dados de teste 715;0;0
Dados de teste 716;0;0
Dados de teste 717;0;0
Dados de teste 718;-23,471517;-46,517956
Dados de teste 719;-23,332695;-46,138092
Dados de teste 720;-23,496628;-46,557761
Dados de teste 721;0;0
Dados de teste 722;0;0
Dados de teste 723;-23,462792;-46,492817
Dados de teste 724;-23,498361;-46,560247
Dados de teste 725;-23,4135;-46,3617
Dados de teste 726;-23,224472;-45,905492
Dados de teste 727;-23,492973;-46,552031
Dados de teste 728;0;0
Dados de teste 729;-23,497722;-46,559242
Dados de teste 730;-23,231421;-45,912761
Dados de teste 731;0;0
Dados de teste 732;-23,437044;-46,430732
Dados de teste 733;-23,239548;-45,921613
Dados de teste 734;-23,476165;-46,525209
Dados de teste 735;-23,435586;-46,426897
Dados de teste 736;-23,493561;-46,55987
Dados de teste 737;-23,503761;-46,567167
Dados de teste 738;-23,224853;-45,905942
Dados de teste 739;-23,503422;-46,566706
Dados de teste 740;0;0
Dados de teste 741;-23,497101;-46,557999
Dados de teste 742;-23,504311;-46,567858
Dados de teste 743;0;0
Dados de teste 744;-23,242145;-45,924603
Dados de teste 745;-23,224678;-45,905712
Dados de teste 746;0;0
Dados de teste 747;-23,241548;-45,923767
Dados de teste 748;-23,414;-46,361198
Dados de teste 749;0;0
Dados de teste 750;-23,471081;-46,516961
Dados de teste 751;-23,492764;-46,552543
Dados de teste 752;0;0
Dados de teste 753;-23,23796;-45,92011
Dados de teste 754;-23,229083;-45,910335
Dados de teste 755;-23,241008;-45,923193
Dados de teste 756;-23,242324;-45,924723
Dados de teste 757;-23,436019;-46,428015
Dados de teste 758;0;0
Dados de teste 759;0;0
Dados de teste 760;-23,243227;-45,925695
Dados de teste 761;-23,228697;-45,909955
Dados de teste 762;-23,493253;-46,551765
Dados de teste 763;0;0
Dados de teste 764;0;0
Dados de teste 765;0;0
Dados de teste 766;-23,239678;-45,921735
Dados de teste 767;0;0
Dados de teste 768;-23,238117;-45,92027
Dados de teste 769;-23,457258;-46,478747
Dados de teste 770;0;0
Dados de teste 771;-23,241008;-45,923193
Dados de teste 772;0;0
Dados de teste 773;-23,231421;-45,912761
Dados de teste 774;0;0
Dados de teste 775;-23,2425;-45,924885
Dados de teste 776;-23,229847;-45,910992
Dados de teste 777;-23,231421;-45,912761
Dados de teste 778;-23,490525;-46,549387
Dados de teste 779;-23,496964;-46,558256
Dados de teste 780;-23,4629;-46,493094
Dados de teste 781;0;0
Dados de teste 782;-23,504311;-46,567858
Dados de teste 783;0;0
Dados de teste 784;-23,490744;-46,549725
Dados de teste 785;-23,504517;-46,568064
